#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
######################################5_EVENTS;;;;;;;;;;;;;;x
############ Feast Flavor;;;;;;;;;;;;;;x
# Basic pattern of flavor, to be followed by all alternatives, initial flavor probably exempt:
# Sizing Up: Aggressor advances on Defender
# Combat: Aggressor thinks he sees an opening, Defender either screws up or sets a trap
# Note when I rewrite flavor here: 1st person, present tense is what I think I'm going with
### Initial Flavor;;;;;;;;;;;;;;x
## Chain 1
# Aggressor wants to fight (ROOT = Winner, FROMFROM = Loser)
hde_feast.100.desc;I was prepared to do battle right there in front of [Root.Liege.GetTitledFirstName]'s guests, but [FromFrom.GetBestName] held up [FromFrom.GetHerHis] hand and suggested we move outside first.;;;;;;;;;;;;;x
hde_feast.100.a;Very well.;;;;;;;;;;;;;x
# Aggressor wants to fight (ROOT = Loser, FROM = Winner)
hde_feast.101.desc;I was prepared to do battle right there in front of [Root.Liege.GetTitledFirstName]'s guests, but [From.GetBestName] held up [From.GetHerHis] hand and suggested we move outside first.;;;;;;;;;;;;;x
hde_feast.101.a;Very well.;;;;;;;;;;;;;x
# Defender delays (Sent to Winner or Loser)
hde_feast.102.desc;[From.GetBestName] seemed ready to attack me immediately, but I raised my hand against it.\n\n"Surely we should not blacken [Root.Liege.GetTitledFirstName]'s hall with our spat?";;;;;;;;;;;;;x
hde_feast.102.a;Perhaps we should move outside?;;;;;;;;;;;;;x
# Aggressor taunts (Sent to Winner or Loser)
hde_feast.103.desc;With several curious onlookers trailing behind us, [From.GetBestName] and I went out to the gardens near the castle. Neither of us wasted any time in drawing our swords, and my opponent took a few experimental swings.;;;;;;;;;;;;;x
hde_feast.103.a;I have never seen such clumsy swordplay.;;;;;;;;;;;;;x
hde_feast.103.b;Enough delays. Let us begin.;;;;;;;;;;;;;x
# Defender responds to OPTA (Sent to Winner or Loser)
hde_feast.104.tt;[This.GetTitledFirstName] bristles at your insult;;;;;;;;;;;;;x
hde_feast.104.desc;With our contest relocated to the gardens outside the castle, we drew our swords, and I swung mine through the air several times as I tested its weight. [From.GetBestName] responded by saying that [From.GetSheHe]'d never seen such clumsy swordplay.;;;;;;;;;;;;;x
hde_feast.104.a;You would have if you weren't always running away!;;;;;;;;;;;;;x
# Defender responds to OPTB (Sent to Winner or Loser)
